ENCSR053PIY,adrenal gland,H3K9me3-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF922FBZ', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF922FBZ/@@download/ENCFF922FBZ.bam'], ['unfiltered alignments', 'ENCFF613IDB', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF613IDB/@@download/ENCFF613IDB.bam'], ['alignments', 'ENCFF233VGO', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF233VGO/@@download/ENCFF233VGO.bam'], ['alignments', 'ENCFF282WEX', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF282WEX/@@download/ENCFF282WEX.bam'], ['unfiltered alignments', 'ENCFF532XFJ', 'hg19', 'https://www.encodeproject.org/files/ENCFF532XFJ/@@download/ENCFF532XFJ.bam'], ['unfiltered alignments', 'ENCFF566FTX', 'hg19', 'https://www.encodeproject.org/files/ENCFF566FTX/@@download/ENCFF566FTX.bam'], ['alignments', 'ENCFF507PBS', 'hg19', 'https://www.encodeproject.org/files/ENCFF507PBS/@@download/ENCFF507PBS.bam'], ['alignments', 'ENCFF563LGZ', 'hg19', 'https://www.encodeproject.org/files/ENCFF563LGZ/@@download/ENCFF563LGZ.bam']]",['ENCSR754WVA']
ENCSR383CBN,IMR-90,H3K18ac-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF110DQU', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF110DQU/@@download/ENCFF110DQU.bam'], ['unfiltered alignments', 'ENCFF260HUL', 'hg19', 'https://www.encodeproject.org/files/ENCFF260HUL/@@download/ENCFF260HUL.bam'], ['alignments', 'ENCFF269FHA', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF269FHA/@@download/ENCFF269FHA.bam'], ['alignments', 'ENCFF303OLW', 'hg19', 'https://www.encodeproject.org/files/ENCFF303OLW/@@download/ENCFF303OLW.bam'], ['unfiltered alignments', 'ENCFF336XZM', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF336XZM/@@download/ENCFF336XZM.bam'], ['unfiltered alignments', 'ENCFF092OLQ', 'hg19', 'https://www.encodeproject.org/files/ENCFF092OLQ/@@download/ENCFF092OLQ.bam'], ['alignments', 'ENCFF360OWM', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF360OWM/@@download/ENCFF360OWM.bam'], ['alignments', 'ENCFF287BMV', 'hg19', 'https://www.encodeproject.org/files/ENCFF287BMV/@@download/ENCFF287BMV.bam'], ['alignments', 'ENCFF087EJG', 'hg19', 'https://www.encodeproject.org/files/ENCFF087EJG/@@download/ENCFF087EJG.bam'], ['unfiltered alignments', 'ENCFF116VWW', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF116VWW/@@download/ENCFF116VWW.bam'], ['unfiltered alignments', 'ENCFF907MLD', 'hg19', 'https://www.encodeproject.org/files/ENCFF907MLD/@@download/ENCFF907MLD.bam'], ['alignments', 'ENCFF764GSB', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF764GSB/@@download/ENCFF764GSB.bam']]","['ENCSR110LEG', 'ENCSR001BSB']"
ENCSR906IQU,MCF-7,EZH2-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF582QEV', 'hg19', 'https://www.encodeproject.org/files/ENCFF582QEV/@@download/ENCFF582QEV.bam'], ['alignments', 'ENCFF012SMV', 'hg19', 'https://www.encodeproject.org/files/ENCFF012SMV/@@download/ENCFF012SMV.bam'], ['unfiltered alignments', 'ENCFF459CSY', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF459CSY/@@download/ENCFF459CSY.bam'], ['alignments', 'ENCFF712UGK', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF712UGK/@@download/ENCFF712UGK.bam'], ['unfiltered alignments', 'ENCFF645FVP', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF645FVP/@@download/ENCFF645FVP.bam'], ['unfiltered alignments', 'ENCFF906YHJ', 'hg19', 'https://www.encodeproject.org/files/ENCFF906YHJ/@@download/ENCFF906YHJ.bam'], ['alignments', 'ENCFF759DNS', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF759DNS/@@download/ENCFF759DNS.bam'], ['alignments', 'ENCFF150VPN', 'hg19', 'https://www.encodeproject.org/files/ENCFF150VPN/@@download/ENCFF150VPN.bam']]",['ENCSR768LHG']
ENCSR555LYM,HCT116,H3K9me2-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF994SPL', 'hg19', 'https://www.encodeproject.org/files/ENCFF994SPL/@@download/ENCFF994SPL.bam'], ['alignments', 'ENCFF177NAT', 'hg19', 'https://www.encodeproject.org/files/ENCFF177NAT/@@download/ENCFF177NAT.bam'], ['unfiltered alignments', 'ENCFF025NNP', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF025NNP/@@download/ENCFF025NNP.bam'], ['unfiltered alignments', 'ENCFF732YPR', 'hg19', 'https://www.encodeproject.org/files/ENCFF732YPR/@@download/ENCFF732YPR.bam'], ['alignments', 'ENCFF247HIH', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF247HIH/@@download/ENCFF247HIH.bam'], ['alignments', 'ENCFF723RKX', 'hg19', 'https://www.encodeproject.org/files/ENCFF723RKX/@@download/ENCFF723RKX.bam'], ['unfiltered alignments', 'ENCFF362EKS', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF362EKS/@@download/ENCFF362EKS.bam'], ['alignments', 'ENCFF949AIT', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF949AIT/@@download/ENCFF949AIT.bam']]",['ENCSR198WIH']
ENCSR850ODD,hepatocyte,H3K9ac-human,ChIP-seq,"[['alignments', 'ENCFF900GCT', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF900GCT/@@download/ENCFF900GCT.bam'], ['unfiltered alignments', 'ENCFF284FLP', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF284FLP/@@download/ENCFF284FLP.bam'], ['unfiltered alignments', 'ENCFF041ATC', 'hg19', 'https://www.encodeproject.org/files/ENCFF041ATC/@@download/ENCFF041ATC.bam'], ['alignments', 'ENCFF129JTM', 'hg19', 'https://www.encodeproject.org/files/ENCFF129JTM/@@download/ENCFF129JTM.bam'], ['alignments', 'ENCFF905RYT', 'hg19', 'https://www.encodeproject.org/files/ENCFF905RYT/@@download/ENCFF905RYT.bam'], ['unfiltered alignments', 'ENCFF031LDD', 'hg19', 'https://www.encodeproject.org/files/ENCFF031LDD/@@download/ENCFF031LDD.bam'], ['alignments', 'ENCFF977BPK', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF977BPK/@@download/ENCFF977BPK.bam']]",['ENCSR107PGG']
ENCSR228DTL,GM12878,CHD1-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF825LIG', 'hg19', 'https://www.encodeproject.org/files/ENCFF825LIG/@@download/ENCFF825LIG.bam'], ['unfiltered alignments', 'ENCFF902JAR', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF902JAR/@@download/ENCFF902JAR.bam'], ['unfiltered alignments', 'ENCFF568EED', 'hg19', 'https://www.encodeproject.org/files/ENCFF568EED/@@download/ENCFF568EED.bam'], ['unfiltered alignments', 'ENCFF440XFM', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF440XFM/@@download/ENCFF440XFM.bam'], ['alignments', 'ENCFF475TXX', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF475TXX/@@download/ENCFF475TXX.bam'], ['alignments', 'ENCFF485EMU', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF485EMU/@@download/ENCFF485EMU.bam'], ['alignments', 'ENCFF056SZJ', 'hg19', 'https://www.encodeproject.org/files/ENCFF056SZJ/@@download/ENCFF056SZJ.bam'], ['alignments', 'ENCFF925WKJ', 'hg19', 'https://www.encodeproject.org/files/ENCFF925WKJ/@@download/ENCFF925WKJ.bam']]",['ENCSR142REC']
ENCSR638QHV,K562,ELF4-human,ChIP-seq,"[['alignments', 'ENCFF606YTH', 'hg19', 'https://www.encodeproject.org/files/ENCFF606YTH/@@download/ENCFF606YTH.bam'], ['alignments', 'ENCFF105XTZ', 'hg19', 'https://www.encodeproject.org/files/ENCFF105XTZ/@@download/ENCFF105XTZ.bam'], ['unfiltered alignments', 'ENCFF039TGK', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF039TGK/@@download/ENCFF039TGK.bam'], ['unfiltered alignments', 'ENCFF921IIJ', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF921IIJ/@@download/ENCFF921IIJ.bam'], ['alignments', 'ENCFF958WMW', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF958WMW/@@download/ENCFF958WMW.bam'], ['alignments', 'ENCFF339RWU', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF339RWU/@@download/ENCFF339RWU.bam']]","['ENCSR173USI', 'ENCSR554FDZ']"
ENCSR538KLU,SUDHL6,H4K20me1-human,ChIP-seq,"[['alignments', 'ENCFF989RNP', 'hg19', 'https://www.encodeproject.org/files/ENCFF989RNP/@@download/ENCFF989RNP.bam'], ['alignments', 'ENCFF944CZM', 'hg19', 'https://www.encodeproject.org/files/ENCFF944CZM/@@download/ENCFF944CZM.bam'], ['unfiltered alignments', 'ENCFF042UKT', 'hg19', 'https://www.encodeproject.org/files/ENCFF042UKT/@@download/ENCFF042UKT.bam'], ['unfiltered alignments', 'ENCFF880KQO', 'hg19', 'https://www.encodeproject.org/files/ENCFF880KQO/@@download/ENCFF880KQO.bam'], ['unfiltered alignments', 'ENCFF894QNT', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF894QNT/@@download/ENCFF894QNT.bam'], ['alignments', 'ENCFF062DSE', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF062DSE/@@download/ENCFF062DSE.bam'], ['alignments', 'ENCFF150KIC', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF150KIC/@@download/ENCFF150KIC.bam'], ['unfiltered alignments', 'ENCFF726STZ', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF726STZ/@@download/ENCFF726STZ.bam']]",['ENCSR179YLS']
ENCSR591AOD,H1-hESC,PAF1-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF011PIR', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF011PIR/@@download/ENCFF011PIR.bam'], ['unfiltered alignments', 'ENCFF137YIF', 'hg19', 'https://www.encodeproject.org/files/ENCFF137YIF/@@download/ENCFF137YIF.bam'], ['unfiltered alignments', 'ENCFF387CHB', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF387CHB/@@download/ENCFF387CHB.bam'], ['unfiltered alignments', 'ENCFF515OWT', 'hg19', 'https://www.encodeproject.org/files/ENCFF515OWT/@@download/ENCFF515OWT.bam'], ['alignments', 'ENCFF329SII', 'hg19', 'https://www.encodeproject.org/files/ENCFF329SII/@@download/ENCFF329SII.bam'], ['alignments', 'ENCFF274IMK', 'hg19', 'https://www.encodeproject.org/files/ENCFF274IMK/@@download/ENCFF274IMK.bam'], ['alignments', 'ENCFF944BYB', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF944BYB/@@download/ENCFF944BYB.bam'], ['alignments', 'ENCFF065CRS', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF065CRS/@@download/ENCFF065CRS.bam']]",['ENCSR000AMI']
ENCSR481FEC,HEK293,eGFP-ZBTB8A-human,ChIP-seq,"[['unfiltered alignments', 'ENCFF314JRO', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF314JRO/@@download/ENCFF314JRO.bam'], ['unfiltered alignments', 'ENCFF311KDI', 'hg19', 'https://www.encodeproject.org/files/ENCFF311KDI/@@download/ENCFF311KDI.bam'], ['unfiltered alignments', 'ENCFF869WZQ', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF869WZQ/@@download/ENCFF869WZQ.bam'], ['unfiltered alignments', 'ENCFF417WCB', 'hg19', 'https://www.encodeproject.org/files/ENCFF417WCB/@@download/ENCFF417WCB.bam'], ['alignments', 'ENCFF754QAG', 'hg19', 'https://www.encodeproject.org/files/ENCFF754QAG/@@download/ENCFF754QAG.bam'], ['alignments', 'ENCFF276PEK', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF276PEK/@@download/ENCFF276PEK.bam'], ['alignments', 'ENCFF265PPN', 'hg19', 'https://www.encodeproject.org/files/ENCFF265PPN/@@download/ENCFF265PPN.bam'], ['alignments', 'ENCFF861CWB', 'GRCh38', 'https://www.encodeproject.org/files/ENCFF861CWB/@@download/ENCFF861CWB.bam']]","['ENCSR007GUS', 'ENCSR049NDP', 'ENCSR110ZVM', 'ENCSR123TVS', 'ENCSR236FPN', 'ENCSR260MAS', 'ENCSR278MZO', 'ENCSR311DYU', 'ENCSR316OQD', 'ENCSR361UQO', 'ENCSR398UVH', 'ENCSR468NLK', 'ENCSR499OOH', 'ENCSR499QIO', 'ENCSR523KUQ', 'ENCSR537CWQ', 'ENCSR603CJM', 'ENCSR679WSJ', 'ENCSR736BTL', 'ENCSR782QKO', 'ENCSR840JVQ', 'ENCSR851FFP', 'ENCSR860UAT', 'ENCSR873PPH']"
